Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 24 workers.
Copying objective function to workers...
Done copying objective function to workers.
[Warning: MATLAB has disabled some advanced graphics rendering features by
switching to software OpenGL. For more information, click <a
href="matlab:opengl('problems')">here</a>.] 
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|   56 |      24 | Accept |     0.36111 |      3710.6 |     0.30556 |     0.30557 |            3 |           13 |            6 |           17 |            3 |            2 |           31 |      0.32565 |   2.5078e-06 |           16 |
|   57 |      24 | Accept |       0.375 |      5376.6 |     0.30556 |     0.30557 |            6 |           11 |            6 |           19 |            2 |            3 |           20 |      0.26976 |   3.9473e-06 |           20 |
|   58 |      24 | Accept |     0.44444 |      3981.7 |     0.30556 |     0.30558 |            6 |           14 |            5 |           16 |            2 |            3 |           59 |      0.25595 |   9.6402e-06 |           17 |
|   59 |      24 | Accept |     0.40278 |      3621.1 |     0.30556 |     0.30558 |            5 |           14 |            4 |           19 |            3 |            3 |           34 |      0.28487 |   2.8762e-06 |           16 |
|   60 |      24 | Accept |     0.38889 |        5515 |     0.30556 |     0.30558 |            6 |           14 |            5 |           32 |            3 |            3 |           63 |      0.27894 |   2.7441e-06 |           17 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|   61 |      24 | Accept |     0.44444 |      4222.4 |     0.30556 |     0.30557 |            6 |            9 |            4 |           38 |            3 |            3 |           37 |      0.27355 |   3.1473e-06 |           18 |
|   62 |      24 | Accept |     0.41667 |      2423.5 |     0.30556 |      0.3151 |            6 |            8 |            6 |           27 |            3 |            2 |           39 |      0.30032 |   3.7656e-06 |           16 |
|   63 |      24 | Accept |     0.36111 |        3313 |     0.30556 |     0.31949 |            6 |           11 |            6 |           34 |            3 |            3 |           37 |      0.25242 |   1.8558e-05 |           18 |
|   64 |      24 | Accept |     0.41667 |      4852.9 |     0.30556 |     0.38098 |            7 |           10 |            4 |           26 |            3 |            3 |           28 |      0.28263 |   2.2272e-05 |           18 |
|   65 |      24 | Accept |     0.41667 |      4104.1 |     0.30556 |     0.30558 |            6 |           11 |            5 |           25 |            3 |            3 |           40 |      0.25999 |   3.9744e-06 |           20 |
|   66 |      24 | Accept |     0.38889 |        4679 |     0.30556 |     0.37784 |            7 |           11 |            7 |           21 |            3 |            3 |           28 |      0.25475 |   6.1047e-06 |           21 |
|   67 |      24 | Accept |     0.31944 |      4290.1 |     0.30556 |     0.30557 |            7 |           16 |            6 |           17 |            2 |            3 |           61 |      0.25175 |   6.4173e-06 |           22 |
|   68 |      24 | Accept |     0.44444 |      2094.9 |     0.30556 |     0.35731 |            3 |           10 |            6 |           17 |            2 |            3 |           37 |      0.26303 |   2.9871e-06 |           16 |
|   69 |      24 | Accept |       0.375 |      4277.4 |     0.30556 |     0.36027 |            6 |           11 |            6 |           48 |            3 |            3 |           39 |      0.25606 |   1.1608e-06 |           16 |
|   70 |      24 | Accept |     0.38889 |      2944.5 |     0.30556 |     0.36048 |            4 |           10 |            5 |           21 |            3 |            2 |           24 |      0.23005 |   4.8251e-06 |           19 |
|   71 |      24 | Accept |     0.47222 |      7109.5 |     0.30556 |     0.37234 |            7 |           14 |            7 |           25 |            3 |            3 |           41 |      0.27635 |    1.241e-06 |           16 |
|   72 |      24 | Accept |       0.375 |      6154.7 |     0.30556 |     0.36937 |            7 |           11 |            6 |           24 |            3 |            3 |           39 |      0.26218 |   2.1188e-05 |           20 |
|   73 |      24 | Accept |     0.41667 |      2583.8 |     0.30556 |     0.37029 |            3 |           14 |            3 |           22 |            2 |            2 |           40 |      0.29027 |   2.2112e-06 |           23 |
|   74 |      24 | Accept |     0.40278 |      5920.9 |     0.30556 |     0.37094 |            6 |           15 |            4 |           30 |            3 |            3 |           35 |      0.27414 |   3.5432e-06 |           16 |
|   75 |      24 | Accept |     0.45833 |      2190.9 |     0.30556 |     0.30557 |            4 |            9 |            7 |           19 |            3 |            2 |           40 |      0.30108 |   7.7334e-06 |           19 |
|   76 |      24 | Accept |       0.375 |        2236 |     0.30556 |     0.30557 |            3 |            9 |            6 |           17 |            3 |            3 |           35 |      0.38082 |   6.8765e-06 |           17 |
|   77 |      24 | Accept |       0.375 |      2606.5 |     0.30556 |     0.39132 |            4 |           14 |            6 |           18 |            3 |            1 |           40 |      0.31199 |   5.7357e-06 |           19 |
|   78 |      24 | Accept |         0.5 |      9259.5 |     0.30556 |     0.39213 |            3 |           14 |            5 |           64 |            2 |            3 |           17 |      0.43323 |   0.00048155 |           18 |
|   79 |      24 | Accept |     0.34722 |      2658.2 |     0.30556 |     0.39079 |            5 |           11 |            6 |           21 |            3 |            2 |           40 |      0.36907 |    3.506e-06 |           18 |
|   80 |      24 | Accept |     0.45833 |      1560.6 |     0.30556 |      0.3902 |            3 |           10 |            4 |           18 |            3 |            1 |           36 |      0.32501 |   8.3907e-06 |           18 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|   81 |      24 | Accept |     0.40278 |       22724 |     0.30556 |     0.39037 |            5 |           10 |            6 |           22 |            1 |            1 |           52 |      0.29419 |   4.1167e-06 |           19 |
|   82 |      24 | Accept |     0.40278 |      3632.1 |     0.30556 |     0.39169 |            4 |           13 |            6 |           20 |            3 |            1 |           48 |      0.23557 |    1.849e-06 |           17 |
|   83 |      24 | Accept |       0.375 |      2685.6 |     0.30556 |     0.39176 |            3 |           15 |            5 |           18 |            3 |            2 |           49 |      0.36284 |   1.3893e-06 |           17 |
|   84 |      24 | Accept |     0.41667 |      1824.3 |     0.30556 |     0.38679 |            3 |           11 |            7 |           20 |            3 |            2 |           38 |      0.20535 |   2.0298e-05 |           20 |
|   85 |      24 | Accept |     0.33333 |      1475.3 |     0.30556 |     0.36346 |            3 |           11 |            5 |           18 |            3 |            2 |           61 |      0.30428 |   1.2436e-05 |           23 |
|   86 |      24 | Accept |     0.47222 |      2279.2 |     0.30556 |     0.30557 |            6 |            9 |            6 |           19 |            3 |            3 |           34 |       0.2968 |   1.1907e-05 |           19 |
|   87 |      24 | Accept |     0.45833 |      2839.6 |     0.30556 |     0.30557 |            5 |            9 |            4 |           22 |            3 |            1 |           37 |       0.2615 |   1.2312e-05 |           22 |
|   88 |      24 | Accept |     0.38889 |      3891.6 |     0.30556 |     0.30557 |            4 |           16 |            5 |           16 |            3 |            2 |           45 |      0.39926 |   3.5491e-06 |           20 |
|   89 |      24 | Accept |     0.41667 |        1572 |     0.30556 |     0.30557 |            3 |            8 |            5 |           20 |            3 |            2 |           57 |      0.33526 |   3.6723e-06 |           20 |
|   90 |      24 | Accept |     0.40278 |      1323.3 |     0.30556 |     0.30557 |            3 |            9 |            6 |           17 |            3 |            1 |           60 |      0.35069 |   1.3884e-06 |           21 |
|   91 |      24 | Accept |     0.34722 |      2199.8 |     0.30556 |     0.30557 |            3 |            9 |            5 |           19 |            3 |            2 |           36 |      0.30056 |   2.0682e-06 |           16 |
|   92 |      24 | Accept |     0.40278 |      1669.1 |     0.30556 |     0.30557 |            4 |           12 |            4 |           19 |            3 |            2 |           36 |      0.24713 |    1.166e-05 |           16 |
|   93 |      24 | Accept |     0.44444 |      1392.2 |     0.30556 |     0.30557 |            3 |            8 |            5 |           17 |            3 |            1 |           52 |      0.49891 |    1.839e-06 |           20 |
|   94 |      24 | Accept |     0.41667 |      1097.8 |     0.30556 |     0.30557 |            3 |            9 |            3 |           17 |            3 |            3 |           35 |      0.49536 |   0.00015773 |           22 |
|   95 |      24 | Accept |     0.38889 |      5061.8 |     0.30556 |     0.30557 |            6 |           15 |            7 |           22 |            3 |            2 |           39 |      0.31286 |   1.1364e-05 |           16 |
|   96 |      24 | Accept |         0.5 |      1649.1 |     0.30556 |     0.30557 |            4 |            8 |            3 |           25 |            3 |            3 |           48 |      0.26787 |   0.00032809 |           20 |
|   97 |      24 | Accept |     0.43056 |        4046 |     0.30556 |     0.30557 |            7 |           14 |            6 |           23 |            2 |            3 |           52 |      0.25413 |   1.0005e-05 |           23 |
|   98 |      24 | Accept |         0.5 |        3239 |     0.30556 |     0.38811 |            3 |            9 |            7 |           36 |            3 |            1 |           56 |      0.49129 |   0.00041146 |           17 |
|   99 |      24 | Accept |     0.47222 |      2763.3 |     0.30556 |     0.39518 |            6 |            8 |            6 |           25 |            3 |            3 |           53 |      0.32471 |   1.1604e-05 |           24 |
|  100 |      24 | Accept |     0.41667 |      2380.7 |     0.30556 |     0.39116 |            4 |            8 |            6 |           18 |            2 |            3 |           48 |      0.20745 |   0.00049906 |           16 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
